SP|धृतराष्ट्र ने कहा:
1|हे संजय! धर्मभूमि कुरुक्षेत्र में युद्ध की इच्छा से एकत्र हुए मेरे और पाण्डवों के पुत्रों ने क्या किया?
SP|संजय ने कहा:
2|उस समय युद्ध के लिए व्यूहरचना देखकर राजा दुर्योधन ने आचार्य द्रोण के पास जाकर यह वचन कहे।
3|हे आचार्य! बुद्धिमान द्रुपदपुत्र धृष्टद्युम्न द्वारा व्यूहरचना किए हुए पाण्डुपुत्रों की इस विशाल सेना को देखिए।
4|इस सेना में भीम और अर्जुन के समान महाधनुर्धारी युयुधान, विराट और महारथी द्रुपद आदि शूरवीर हैं।
5|धृष्टकेतु, चेकितान, वीर्यवान् काशिराज, पुरुजित्, कुन्तिभोज और श्रेष्ठ पुरुष शैब्य भी हैं।
6|पराक्रमी युधामन्यु, वीर्यवान् उत्तमौजा, सुभद्रापुत्र अभिमन्यु और द्रौपदी के पाँचों पुत्र — सभी महारथी हैं।
7|हे द्विजोत्तम! हमारी ओर जो विशेष योद्धा हैं, उन्हें जानिए — मैं अपनी सेना के सेनापतियों का परिचय आपको देता हूँ।
8|आप, भीष्म, कर्ण, संग्राम में विजयी कृपाचार्य, अश्वत्थामा, विकर्ण और सोमदत्तपुत्र भूरिश्रवा — ये मुख्य योद्धा हैं।
9|तथा मेरे लिए जीवन का त्याग करने वाले, नाना प्रकार के शस्त्रों से सुसज्जित, युद्धकला में निपुण अन्य अनेक शूरवीर भी हैं।
10|भीष्म द्वारा रक्षित हमारी यह सेना अपर्याप्त है, और भीम द्वारा रक्षित उनकी सेना पर्याप्त (पराजित करने में समर्थ) है।
11|इसलिए सब मोर्चों पर अपने-अपने स्थान पर खड़े रहकर तुम सब भीष्म पितामह की ही पूरी रक्षा करो।
12|तब कुरुवृद्ध पितामह भीष्म ने दुर्योधन को हर्षित करते हुए सिंहनाद किया और ऊँचे स्वर में शंख बजाया।
13|उसके बाद शंख, भेरी, पणव, आनक और गोमुख आदि बाजे एक साथ बज उठे — वह शब्द अत्यन्त भयंकर हुआ।
14|तब श्वेत अश्वों से युक्त महान रथ में स्थित माधव (कृष्ण) और पाण्डव (अर्जुन) ने भी दिव्य शंख बजाए।
15|हृषीकेश ने पाञ्चजन्य, अर्जुन ने देवदत्त तथा भीमकर्मा वृकोदर ने महाशंख पौण्ड्र बजाया।
16|कुन्तीपुत्र राजा युधिष्ठिर ने अनन्तविजय, और नकुल-सहदेव ने सुघोष तथा मणिपुष्पक शंख बजाए।
17|श्रेष्ठ धनुर्धारी काश्य, महारथी शिखण्डी, धृष्टद्युम्न, विराट और अपराजित सात्यकि ने भी शंख बजाए।
18|द्रुपद, द्रौपदी के पुत्र तथा महाबाहु सुभद्रापुत्र अभिमन्यु ने सबने अलग-अलग शंख बजाए।
19|वह शंखनाद धृतराष्ट्र के पुत्रों के हृदय विदीर्ण करने वाला तथा आकाश और पृथ्वी को गूँजाने वाला हुआ।
20|तब शस्त्र-संग्राम आरम्भ होते देख कपिध्वज अर्जुन ने धनुष उठाकर श्रीकृष्ण से यह वचन कहा।
SP|अर्जुन ने कहा:
21|हे अच्युत! मेरे रथ को दोनों सेनाओं के मध्य खड़ा कीजिए।
22|ताकि मैं युद्ध की इच्छा से खड़े शत्रुओं को देख सकूँ कि इस संग्राम में मुझे किनके साथ युद्ध करना है।
23|मैं उन योद्धाओं को देखना चाहता हूँ जो दुर्बुद्धि दुर्योधन का प्रिय करने के लिए युद्ध में एकत्र हुए हैं।
SP|संजय ने कहा:
24|हे भारत! गुडाकेश अर्जुन के ऐसे कहने पर हृषीकेश ने दोनों सेनाओं के बीच उत्तम रथ को खड़ा कर दिया।
25|भीष्म, द्रोण और समस्त राजाओं के सामने खड़ा करके कहा — हे पार्थ! कुरुवंशियों को एकत्र देख।
26|वहाँ अर्जुन ने दोनों सेनाओं में स्थित पिताओं, पितामहों, आचार्यों, मामाओं, भाइयों, पुत्रों, पौत्रों, मित्रों, ससुरों और सुहृदों को देखा।
27|कुन्तीपुत्र अर्जुन ने उन सब बन्धुओं को देखकर अत्यन्त करुणा से भरकर खिन्न मन से यह कहा।
SP|अर्जुन ने कहा:
28|हे कृष्ण! युद्ध की इच्छा से एकत्र हुए इन स्वजनों को देखकर मेरे अंग शिथिल हो रहे हैं और मुख सूख रहा है।
29|मेरे शरीर में कम्पन और रोमांच हो रहा है, गाण्डीव धनुष हाथ से गिर रहा है और त्वचा जल रही है।
30|मैं खड़ा नहीं रह पा रहा हूँ, मेरा मन भ्रमित-सा हो रहा है — हे केशव! मैं विपरीत शकुन देख रहा हूँ।
31|स्वजनों को मारकर मुझे कल्याण दिखाई नहीं देता — न विजय चाहिए, न राज्य, न सुख।
32|हे गोविन्द! मुझे न विजय चाहिए, न राज्य और न सुख — राज्य, भोग या जीवन से हमें क्या प्रयोजन?
33|जिनके लिए हम राज्य, भोग और सुख चाहते थे, वे ही युद्ध में प्राण और धन त्यागकर खड़े हैं।
34|आचार्य, पिता, पुत्र, पितामह, मामा, ससुर, पौत्र, साले और अन्य सम्बन्धी — ये सब यहाँ उपस्थित हैं।
35|हे मधुसूदन! यद्यपि ये मुझे मारना चाहते हैं, फिर भी मैं इन्हें मारना नहीं चाहता — तीनों लोकों के राज्य के लिए भी नहीं, फिर पृथ्वी के लिए क्या कहना!
36|हे जनार्दन! धृतराष्ट्र के पुत्रों को मारकर हमें क्या प्रसन्नता होगी? इन अतातायियों को मारकर तो हमें पाप ही लगेगा।
37|इसलिए हम अपने बन्धुओं को मारने योग्य नहीं हैं — हे माधव! स्वजनों को मारकर हम सुखी कैसे हो सकते हैं?
38|यद्यपि लोभ से मोहितचित्त ये कुल-क्षय का दोष और मित्रद्रोह का पाप नहीं समझते।
