SP|श्रीभगवान् ने कहा:
1|हे अनसूयो! मैं तुझसे विज्ञान सहित यह गुह्यतम ज्ञान कहूँगा — जिसे जानकर तू अशुभ से मुक्त हो जाएगा।
2|यह राजविद्या, राजगुह्य, पवित्र, उत्तम, प्रत्यक्ष फल देने वाला, धर्मयुक्त, सुसाध्य और अव्यय है।
3|हे परन्तप! इस धर्म में श्रद्धा न रखने वाले पुरुष मुझे प्राप्त न करके मृत्यु-संसार के मार्ग में ही लौटते रहते हैं।
4|अव्यक्त मूर्ति धारण किए हुए मेरे द्वारा यह सारा जगत् व्याप्त है — सब भूत मुझमें स्थित हैं, पर मैं उनमें स्थित नहीं हूँ।
5|और भूत मुझमें स्थित नहीं हैं — मेरे ऐश्वर्ययुक्त योग को देख; मेरा आत्मा भूतों का धारण करने वाला है, पर उनमें स्थित नहीं; वह भूतों को उत्पन्न करने वाला है।
6|जैसे सर्वत्रग महान् वायु नित्य आकाश में स्थित रहता है, वैसे ही सब भूत मुझमें स्थित हैं — ऐसा समझ।
7|हे कौन्तेय! कल्प के अन्त में सब भूत मेरी प्रकृति में चले जाते हैं और कल्प के आदि में मैं उन्हें फिर उत्पन्न करता हूँ।
8|अपनी प्रकृति को अधिष्ठित करके मैं इस सम्पूर्ण भूतसमूह को प्रकृति के वश में अवश होकर बार-बार उत्पन्न करता हूँ।
9|हे धनञ्जय! ये कर्म मुझे नहीं बाँधते — क्योंकि मैं उन कर्मों में आसक्ति रहित, उदासीनवत् स्थित हूँ।
10|हे कौन्तेय! मेरे अध्यक्ष (साक्षी) होने पर प्रकृति चर-अचर जगत् को उत्पन्न करती है — इस हेतु से यह जगत् घूमता रहता है।
11|मूढ़ लोग मेरे परम भाव को, मुझ भूतमहेश्वर को न जानकर मानवी देह धारण किए मेरा अवज्ञा करते हैं।
12|मोघ आशा, मोघ कर्म, मोघ ज्ञान और विचेतस् लोग राक्षसी-आसुरी मोहिनी प्रकृति का आश्रय लेते हैं।
13|हे पार्थ! महात्मा लोग दैवी प्रकृति का आश्रय लेकर, भूतों के आदि अव्यय मुझे जानकर अनन्य मन से मेरी भक्ति करते हैं।
