SP|अर्जुन ने कहा:
1|हे कृष्ण! जो शास्त्र-विधि को छोड़कर श्रद्धा से युक्त होकर पूजा करते हैं, उनकी निष्ठा कैसी है — सात्त्विकी, राजसी या तामसी?
SP|श्रीभगवान् ने कहा:
2|हे भारत! देहधारियों की श्रद्धा स्वभाव से उत्पन्न तीन प्रकार की होती है — सात्त्विकी, राजसी और तामसी — उसे सुन।
3|हे भारत! सबकी श्रद्धा उसके सत्त्व (अन्तःकरण) के अनुरूप होती है — पुरुष श्रद्धामय है; जैसी उसकी श्रद्धा होती है, वह स्वयं वैसा ही होता है।
4|सात्त्विक लोग देवताओं की पूजा करते हैं, राजस यक्ष-राक्षसों की; और अन्य तामस लोग प्रेतों और भूतगणों की पूजा करते हैं।
5|जो लोग शास्त्र द्वारा विहित नहीं घोर तप को तपते हैं — दम्भ और अहङ्कार से युक्त, काम-राग के बल से युक्त।
6|अचेतस् होकर शरीर में स्थित भूतसमूह को और अन्तःशरीर में स्थित मुझको भी कर्शित (पीड़ित) करने वाले — उन्हें आसुरी निश्चय वाले जानो।
7|हे भारत! प्रत्येक मनुष्य का प्रिय आहार भी तीन प्रकार का होता है; और यज्ञ, तप तथा दान भी — उनका यह भेद सुन।
8|आयु, सत्त्व, बल, आरोग्य, सुख और प्रीति बढ़ाने वाले, रसयुक्त, स्निग्ध, स्थिर और हृदय को अच्छे लगने वाले आहार सात्त्विक प्रिय होते हैं।
9|कटु, अम्ल, लवण, अत्युष्ण, तीक्ष्ण, रूक्ष और विदाही आहार राजस के इष्ट होते हैं — वे दुःख, शोक और रोग देने वाले हैं।
10|यातयाम (पका हुआ बासी), गतरस, दुर्गन्धयुक्त, पर्युषित, उच्छिष्ट और अपवित्र भोजन तामस का प्रिय है।
11|फल की आकांक्षा न रखने वाले द्वारा, विधि से देखा हुआ, "यज्ञ करना ही चाहिए" — ऐसा मन में निश्चय करके किया जाने वाला यज्ञ सात्त्विक है।
12|हे भरतश्रेष्ठ! जो यज्ञ फल का अभिसन्धान करके और दम्भ के लिए किया जाता है, उसे राजस जानो।
13|विधिहीन, बिना अन्न-दान वाला, मन्त्रहीन, दक्षिणा रहित और श्रद्धा रहित यज्ञ तामस कहा गया है।
14|देवताओं, द्विजों, गुरुओं और विद्वानों की पूजा, शौच, आर्जव, ब्रह्मचर्य और अहिंसा — यह शारीरिक तप कहा जाता है।
15|जो वाक्य उद्वेग नहीं करता, सत्य, प्रिय और हितकारी है, तथा स्वाध्याय का अभ्यास — यह वाङ्मय तप कहा जाता है।
16|मन की प्रसन्नता, सौम्यता, मौन, आत्मविनिग्रह और भावों की शुद्धि — यह मानसिक तप कहा जाता है।
17|यह त्रिविध तप परम श्रद्धा से, फल की आकांक्षा न रखने वाले युक्त पुरुषों द्वारा किया गया सात्त्विक कहा जाता है।
18|सत्कार, मान और पूजा के लिए तथा दम्भ से किया गया तप यहाँ राजस कहा गया है — वह चल और अध्रुव है।
19|मूढ़ आग्रह से आत्मा को पीड़ा देकर या दूसरों के नाश के लिए किया गया तप तामस कहा गया है।
20|"दान देना ही चाहिए" — ऐसा समझकर, उपकार न करने वाले को, उचित देश, काल और पात्र में जो दान दिया जाता है, वह सात्त्विक दान है।
21|परन्तु जो दान प्रत्युपकार के लिए या फल का उद्देश्य रखकर, क्लेश के साथ दिया जाता है, वह राजस दान कहा गया है।
22|अनुचित देश-काल में और अपात्रों को, असत्कार सहित, अवज्ञा से जो दान दिया जाता है, वह तामस कहा गया है।
23|ॐ-तत्-सत् — यह ब्रह्म का त्रिविध निर्देश कहा गया है; उसी से पहले ब्राह्मण, वेद और यज्ञ विहित हुए।
24|इसलिए "ॐ" का उच्चारण करके ही ब्रह्मवादियों की विधानोक्त यज्ञ-दान-तप की क्रियाएँ सदा प्रवृत्त होती हैं।
25|"तत्" कहकर, फल का अभिसन्धान न करके मोक्ष की आकांक्षा रखने वालों द्वारा विविध यज्ञ-तप-दान की क्रियाएँ की जाती हैं।
26|सद्भाव और साधुभाव में "सत्" यह शब्द प्रयुक्त होता है — हे पार्थ! प्रशस्त कर्म में भी "सत्" शब्द का प्रयोग होता है।
27|यज्ञ, तप और दान में स्थिति "सत्" कही जाती है — और उसी (परमेश्वर) के लिए किया जाने वाला कर्म भी "सत्" ही कहा जाता है।
28|हे पार्थ! बिना श्रद्धा के किया गया हवन, दान, तप और अन्य कर्म "असत्" कहा जाता है — वह न इस लोक में फल देता है, न परलोक में।
